lugar,precio,unidades
"Mitad del Mundo, Quito",USD 350.000,60 unidades
"Mitad del Mundo, Quito",USD 136.000,60 unidades
"Mitad del Mundo, Quito",USD 580.000,60 unidades
"Cumbayá, Quito",,60 unidades
"Cumbayá, Quito",,60 unidades
"Nayón - Tanda, Quito",,60 unidades
"Nayón - Tanda, Quito",USD 199.000,60 unidades
"Nayón - Tanda, Quito",USD 74.900,60 unidades
"Nayón - Tanda, Quito",USD 54.970,60 unidades
"Nayón - Tanda, Quito",USD 85.000,60 unidades
"Nayón - Tanda, Quito",USD 110.500,60 unidades
,,12 unidades
,,5 unidades
,,6 unidades
,,18 unidades
,,8 unidades
,,32 unidades
,,102 unidades
,,5 unidades
,,40 unidades
,,4 unidades
,,60 unidades
,,40 unidades
,,28 unidades
,,32 unidades
,,6 unidades
,,8 unidades
,,6 unidades
,,6 unidades
,,31 unidades
,,15 unidades
,,86 unidades
,,30 unidades
,,54 unidades
"Tumbaco, Quito",,52 unidades
"Tumbaco, Quito",,52 unidades
"Cumbayá, Quito",,52 unidades
"Calderón, Quito",,52 unidades
"Los Chillos, Quito",,52 unidades
"La Armenia, Quito",,52 unidades
"Norte de Quito, Quito",,52 unidades
"Tumbaco, Quito",,52 unidades
"Cumbayá, Quito",,4 unidades
"Cumbayá, Quito",,4 unidades
"Cumbayá, Quito",,4 unidades
"Cumbayá, Quito",USD 335.000,4 unidades
"Cumbayá, Quito",USD 270.000,4 unidades
"Cumbayá, Quito",USD 297.478,4 unidades
"Cumbayá, Quito",USD 164.308,4 unidades
"Nayón - Tanda, Quito",USD 114.040,60 unidades
"Nayón - Tanda, Quito",USD 95.750,60 unidades
"Nayón - Tanda, Quito",USD 98.500,60 unidades
"Nayón - Tanda, Quito",USD 275.000,60 unidades
"Nayón - Tanda, Quito",USD 85.580,60 unidades
"Nayón - Tanda, Quito",USD 220.000,60 unidades
,,64 unidades
"Norte de Quito, Quito",,64 unidades
"Cumbayá, Quito",,64 unidades
"San Rafael, Quito",,64 unidades
"Conocoto, Quito",,64 unidades
"Tumbaco, Quito",,64 unidades
"Cumbayá, Quito",,64 unidades
"Conocoto, Quito",,64 unidades
,,24 unidades
"La Armenia, Quito",,24 unidades
"Los Chillos, Quito",,24 unidades
"Sangolqui, Quito",,24 unidades
"Los Chillos, Quito",,24 unidades
"Calderón, Quito",,24 unidades
"Los Chillos, Quito",,24 unidades
"Calderón, Quito",,24 unidades
,,10 unidades
,,56 unidades
"Tumbaco, Quito",,56 unidades
"Puembo, Quito",,56 unidades
"Tumbaco, Quito",,56 unidades
"Cumbayá, Quito",,56 unidades
"Cumbayá, Quito",,56 unidades
"Tumbaco, Quito",,56 unidades
"Calderón, Quito",,56 unidades
"Norte de Quito, Quito",,52 unidades
"La Armenia, Quito",,52 unidades
"Mitad del Mundo, Quito",,52 unidades
"Cumbayá, Quito",,52 unidades
"El Condado, Quito",,52 unidades
"San Rafael, Quito",,52 unidades
"Norte de Quito, Quito",,52 unidades
"El Bosque, Quito",,52 unidades
"Cumbayá, Quito",USD 412.000,4 unidades
"Cumbayá, Quito",USD 384.147,4 unidades
"Cumbayá, Quito",USD 259.000,4 unidades
"Cumbayá, Quito",USD 99.900,4 unidades
"Cumbayá, Quito",USD 185.000,4 unidades
"Cumbayá, Quito",USD 585.000,4 unidades
"Cumbayá, Quito",USD 136.000,4 unidades
"Cumbayá, Quito",USD 114.425,4 unidades
"Nayón - Tanda, Quito",USD 200.250,60 unidades
"Nayón - Tanda, Quito",USD 120.000,60 unidades
"Nayón - Tanda, Quito",USD 125.000,60 unidades
"Nayón - Tanda, Quito",USD 135.000,60 unidades
"Nayón - Tanda, Quito",USD 230.000,60 unidades
"Nayón - Tanda, Quito",USD 85.000,60 unidades
"Nayón - Tanda, Quito",USD 135.000,60 unidades
"Conocoto, Quito",,64 unidades
"San Rafael, Quito",,64 unidades
"Los Chillos, Quito",,64 unidades
"Sur de Quito, Quito",,64 unidades
"Centro Norte, Quito",,64 unidades
"Tumbaco, Quito",,64 unidades
"Los Chillos, Quito",,64 unidades
"Los Chillos, Quito",,64 unidades
"Sangolqui, Quito",,64 unidades
"Los Chillos, Quito",,24 unidades
"La Armenia, Quito",,24 unidades
"Sur de Quito, Quito",,24 unidades
"Cumbayá, Quito",,24 unidades
"Calderón, Quito",,24 unidades
"Quito, Pichincha",,24 unidades
"Llano Chico, Quito",,24 unidades
"Tumbaco, Quito",,24 unidades
"Cumbayá, Quito",,56 unidades
"Cumbayá, Quito",,56 unidades
"Calderón, Quito",,56 unidades
"Cumbayá, Quito",,56 unidades
"Los Chillos, Quito",,56 unidades
"Norte de Quito, Quito",,56 unidades
"La Armenia, Quito",,56 unidades
"La Armenia, Quito",,56 unidades
"Los Chillos, Quito",,56 unidades
"Los Chillos, Quito",,52 unidades
"Mitad del Mundo, Quito",,52 unidades
"El Pinar, Quito",,52 unidades
"El Pinar, Quito",USD 144.729,52 unidades
"El Pinar, Quito",USD 89.900,52 unidades
"El Pinar, Quito",USD 155.000,52 unidades
"El Pinar, Quito",USD 99.900,52 unidades
"El Pinar, Quito",USD 250.000,52 unidades
"Cumbayá, Quito",USD 78.000,4 unidades
"Cumbayá, Quito",USD 115.000,4 unidades
"Cumbayá, Quito",USD 69.000,4 unidades
"Cumbayá, Quito",USD 165.000,4 unidades
"Cumbayá, Quito",USD 162.900,4 unidades
"Cumbayá, Quito",USD 120.000,4 unidades
"Cumbayá, Quito",USD 415.000,4 unidades
"Cumbayá, Quito",USD 205.000,4 unidades
"Cumbayá, Quito",USD 4.000.000,4 unidades
"Nayón - Tanda, Quito",USD 269.990,60 unidades
"Nayón - Tanda, Quito",USD 104.900,60 unidades
"Nayón - Tanda, Quito",USD 285.000,60 unidades
"Nayón - Tanda, Quito",USD 93.400,60 unidades
"Nayón - Tanda, Quito",USD 145.000,60 unidades
"Nayón - Tanda, Quito",USD 259.000,60 unidades
"Nayón - Tanda, Quito",USD 450.000,60 unidades
"Norte de Quito, Quito",,64 unidades
"Los Chillos, Quito",,64 unidades
"Carcelén, Quito",,64 unidades
"Norte de Quito, Quito",,64 unidades
"San Isidro - Vista Grande, Quito",,64 unidades
"Carcelén, Quito",,64 unidades
"Carcelén, Quito",,64 unidades
"Puembo, Quito",,64 unidades
"Conocoto, Quito",,24 unidades
"Norte de Quito, Quito",,24 unidades
"Sangolqui, Quito",,24 unidades
"Mitad del Mundo, Quito",,24 unidades
"Los Chillos, Quito",,24 unidades
"Cumbayá, Quito",,24 unidades
"Tumbaco, Quito",,24 unidades
"La Armenia, Quito",,24 unidades
"San Rafael, Quito",,24 unidades
"Centro de Quito, Quito",,56 unidades
"Tumbaco, Quito",,56 unidades
"Cumbayá, Quito",,56 unidades
"Norte de Quito, Quito",,56 unidades
"Cumbayá, Quito",,56 unidades
"Monteserrín, Quito",,56 unidades
"Norte de Quito, Quito",,56 unidades
"El Pinar, Quito",USD 130.000,52 unidades
"El Pinar, Quito",USD 298.790,52 unidades
"El Pinar, Quito",USD 400.425,52 unidades
"El Pinar, Quito",USD 310.000,52 unidades
"El Pinar, Quito",USD 89.990,52 unidades
"El Pinar, Quito",USD 130.000,52 unidades
"El Pinar, Quito",USD 134.900,52 unidades
"El Pinar, Quito",USD 185.000,52 unidades
"El Pinar, Quito",USD 260.000,52 unidades
"El Pinar, Quito",USD 116.000,52 unidades
"Cumbayá, Quito",USD 349.000,4 unidades
"Cumbayá, Quito",USD 500.000,4 unidades
"Cumbayá, Quito",USD 224.000,4 unidades
"Cumbayá, Quito",USD 480.000,4 unidades
"Centro de Quito, Quito",,64 unidades
"Centro de Quito, Quito",USD 125.000,64 unidades
"Centro de Quito, Quito",USD 298.790,64 unidades
"Centro de Quito, Quito",USD 130.500,64 unidades
"Centro de Quito, Quito",USD 110.000,64 unidades
"Centro de Quito, Quito",USD 188.500,64 unidades
"Centro de Quito, Quito",USD 286.500,64 unidades
"Centro de Quito, Quito",USD 57.990,64 unidades
"Sangolqui, Quito",,24 unidades
"Sangolqui, Quito",USD 149.900,24 unidades
"Sangolqui, Quito",USD 69.900,24 unidades
"Sangolqui, Quito",USD 133.000,24 unidades
"Sangolqui, Quito",USD 114.500,24 unidades
"Sangolqui, Quito",USD 68.000,24 unidades
"Sangolqui, Quito",USD 69.900,24 unidades
"Sangolqui, Quito",USD 78.998,24 unidades
"Sangolqui, Quito",USD 195.000,24 unidades
"La Armenia, Quito",,56 unidades
"Norte de Quito, Quito",,56 unidades
"Norte de Quito, Quito",USD 188.900,56 unidades
"Norte de Quito, Quito",USD 209.400,56 unidades
"Norte de Quito, Quito",USD 171.000,56 unidades
"Norte de Quito, Quito",USD 325.000,56 unidades
"Norte de Quito, Quito",USD 183.500,56 unidades
"Norte de Quito, Quito",USD 70.000,56 unidades
"El Pinar, Quito",USD 115.000,52 unidades
"El Pinar, Quito",USD 114.000,52 unidades
"El Pinar, Quito",USD 370.000,52 unidades
"El Pinar, Quito",USD 375.000,52 unidades
"El Pinar, Quito",USD 115.000,52 unidades
"El Pinar, Quito",USD 155.000,52 unidades
"El Pinar, Quito",USD 380.000,52 unidades
"El Pinar, Quito",USD 135.000,52 unidades
"El Pinar, Quito",USD 104.900,52 unidades
"El Pinar, Quito",USD 139.000,52 unidades
"Centro de Quito, Quito",USD 94.000,64 unidades
"Centro de Quito, Quito",USD 99.800,64 unidades
"Centro de Quito, Quito",USD 69.900,64 unidades
"Centro de Quito, Quito",USD 109.000,64 unidades
"Centro de Quito, Quito",USD 980.000,64 unidades
"Centro de Quito, Quito",USD 810.000,64 unidades
"Centro de Quito, Quito",USD 110.645,64 unidades
"Centro de Quito, Quito",USD 70.000,64 unidades
"Sangolqui, Quito",USD 155.000,24 unidades
"Sangolqui, Quito",USD 79.000,24 unidades
"Sangolqui, Quito",USD 217.000,24 unidades
"Sangolqui, Quito",USD 73.000,24 unidades
"Sangolqui, Quito",USD 110.000,24 unidades
"Sangolqui, Quito",USD 79.000,24 unidades
"Sangolqui, Quito",USD 185.000,24 unidades
"Sangolqui, Quito",USD 125.000,24 unidades
"Norte de Quito, Quito",USD 65.000,56 unidades
"Norte de Quito, Quito",USD 365.523,56 unidades
"Norte de Quito, Quito",USD 412.000,56 unidades
"Norte de Quito, Quito",USD 69.930,56 unidades
"Norte de Quito, Quito",USD 700.000,56 unidades
"Norte de Quito, Quito",USD 108.000,56 unidades
"Norte de Quito, Quito",USD 279.000,56 unidades
"Centro de Quito, Quito",USD 65.000,64 unidades
"Centro de Quito, Quito",USD 86.500,64 unidades
"Centro de Quito, Quito",USD 160.167,64 unidades
"Centro de Quito, Quito",USD 115.000,64 unidades
"Centro de Quito, Quito",USD 280.000,64 unidades
"Centro de Quito, Quito",USD 92.000,64 unidades
"Centro de Quito, Quito",USD 145.000,64 unidades
"Centro de Quito, Quito",USD 115.000,64 unidades
"Centro de Quito, Quito",USD 107.000,64 unidades
"Cumbayá, Quito",,
"Sangolqui, Quito",USD 99.000,24 unidades
"Sangolqui, Quito",USD 81.500,24 unidades
"Sangolqui, Quito",USD 103.990,24 unidades
"Sangolqui, Quito",USD 160.000,24 unidades
"Sangolqui, Quito",USD 395.000,24 unidades
"Sangolqui, Quito",USD 160.000,24 unidades
"Sangolqui, Quito",USD 163.000,24 unidades
"Sangolqui, Quito",USD 162.000,24 unidades
"San Rafael, Quito",,
"Norte de Quito, Quito",USD 135.000,56 unidades
"Norte de Quito, Quito",USD 70.000,56 unidades
"Norte de Quito, Quito",USD 102.000,56 unidades
"Norte de Quito, Quito",USD 160.000,56 unidades
"Norte de Quito, Quito",USD 174.000,56 unidades
"Norte de Quito, Quito",USD 630.000,56 unidades
"Norte de Quito, Quito",USD 113.000,56 unidades
"Norte de Quito, Quito",USD 410.000,56 unidades
"Centro de Quito, Quito",USD 114.900,64 unidades
"La Armenia, Quito",,
"Carcelén, Quito",,
"Centro Norte, Quito",,
"Norte de Quito, Quito",,
"Cumbayá, Quito",,
"Carcelén, Quito",,
"Conocoto, Quito",,
"San Isidro - Vista Grande, Quito",,
"Ponceano, Quito",,
"Sangolqui, Quito",USD 249.000,24 unidades
"Los Chillos, Quito",,
"Carcelén, Quito",,
"Norte de Quito, Quito",,
"Cumbayá, Quito",,
"Cumbayá, Quito",,
"Tumbaco, Quito",,
"Conocoto, Quito",,
"Cumbayá, Quito",,
"San Rafael, Quito",,
"Norte de Quito, Quito",USD 380.000,56 unidades
"Norte de Quito, Quito",USD 80.000,56 unidades
"Norte de Quito, Quito",USD 120.000,56 unidades
"Norte de Quito, Quito",USD 127.000,56 unidades
"Sangolqui, Quito",,
"Calderón, Quito",,
"Conocoto, Quito",,
"Carcelén, Quito",,
"La Luz, Quito",,
"Tumbaco, Quito",,
"Norte de Quito, Quito",,
"Nayón - Tanda, Quito",,
"Tumbaco, Quito",,
"El Bosque, Quito",,
"Iñaquito Alto, Quito",,
"Norte de Quito, Quito",,
"Nayón - Tanda, Quito",,
"Calderón, Quito",,
"Cumbayá, Quito",,
"Llano Grande, Quito",,
"Sangolqui, Quito",,
"Sangolqui, Quito",,
"Los Chillos, Quito",,
"Nayón - Tanda, Quito",,
"Cumbayá, Quito",,
"San Rafael, Quito",,
"Cumbayá, Quito",,
"Tumbaco, Quito",,
"Tumbaco, Quito",USD 160.000,
"Tumbaco, Quito",USD 177.000,
"Tumbaco, Quito",USD 90.000,
"Cumbayá, Quito",,
"Cumbayá, Quito",,
"Sangolqui, Quito",,
"Los Chillos, Quito",,
"Los Chillos, Quito",,
"Centro Norte, Quito",,
"Centro Norte, Quito",USD 131.000,
"Centro Norte, Quito",USD 159.000,
"Tumbaco, Quito",USD 250.000,
"Tumbaco, Quito",USD 170.000,
"Tumbaco, Quito",USD 274.347,
"Tumbaco, Quito",USD 98.000,
"Tumbaco, Quito",USD 105.000,
"Tumbaco, Quito",USD 99.990,
"Tumbaco, Quito",USD 132.000,
"Tumbaco, Quito",USD 229.000,
"Tumbaco, Quito",USD 100.300,
"Centro Norte, Quito",USD 125.000,
"Centro Norte, Quito",USD 550.000,
"Centro Norte, Quito",USD 195.000,
"Centro Norte, Quito",USD 200.000,
"Centro Norte, Quito",USD 275.000,
"Centro Norte, Quito",USD 83.000,
"Centro Norte, Quito",USD 310.316,
"Centro Norte, Quito",USD 285.000,
"Centro Norte, Quito",USD 335.000,
"Tumbaco, Quito",USD 118.000,
"Tumbaco, Quito",USD 140.000,
"Tumbaco, Quito",USD 180.000,
"Tumbaco, Quito",USD 107.000,
"Tumbaco, Quito",USD 89.990,
"Tumbaco, Quito",USD 295.000,
"Tumbaco, Quito",USD 100.000,
"Tumbaco, Quito",USD 142.000,
"Tumbaco, Quito",USD 305.000,
"Centro Norte, Quito",USD 530.000,
"Centro Norte, Quito",USD 400.000,
"Centro Norte, Quito",USD 179.000,
"Centro Norte, Quito",USD 498.000,
"Centro Norte, Quito",USD 88.000,
"Centro Norte, Quito",USD 289.000,
"Centro Norte, Quito",USD 89.990,
"Centro Norte, Quito",USD 228.000,
"Centro Norte, Quito",USD 450.000,
"Tumbaco, Quito",USD 1.100.000,
"Tumbaco, Quito",USD 259.000,
"Tumbaco, Quito",USD 225.000,
"Tumbaco, Quito",USD 159.500,
"Centro Norte, Quito",USD 159.000,
"Centro Norte, Quito",USD 104.900,
"Centro Norte, Quito",USD 385.500,
"Centro Norte, Quito",USD 239.990,
"Centro Norte, Quito",USD 95.000,
